Ticker,Day-1 Price,Day-1 Change %,Day-1 Volume,Day-2 Price,Day-2 Change %,Day-2 Volume,Day-3 Price,Day-3 Change %,Day-3 Volume,Day-4 Price,Day-4 Change %,Day-4 Volume,Current Price,Current Volume,RSI,VWAP,PremarketFlag
MSPR,0.44,12.66%,303100,0.45,14.18%,163500,0.47,18.99%,585400,0.45,13.92%,210000,0.45,210000,23.44,1.0,None
MTA,4.83,7.1%,935300,5.02,11.31%,708700,5.19,15.08%,2407300,5.47,21.29%,1078200,5.47,1078200,82.12,4.42,None
MTEK,2.68,10.04%,106000,2.64,8.24%,75500,3.09,26.43%,301500,3.0,22.95%,80900,3.0,80900,66.95,2.96,None
MTEX,9.18,10.2%,5900,8.85,6.24%,5400,9.1,9.24%,3800,9.58,15.01%,6400,9.58,6400,63.86,8.93,None
NEUP,8.27,12.67%,36400,10.22,39.24%,448500,12.21,66.35%,184700,11.33,54.36%,125900,11.33,125900,75.03,8.77,None
NINE,0.63,7.51%,700600,0.63,7.85%,428200,0.69,17.58%,931800,0.69,17.24%,517100,0.69,517100,61.85,0.75,None
NKTR,28.78,6.04%,446300,29.28,7.89%,405100,29.34,8.11%,310700,29.86,10.02%,381700,29.86,381700,84.37,24.97,None
NMRA,1.74,6.75%,528600,1.76,7.98%,279800,1.76,7.98%,303800,1.73,6.13%,236500,1.73,236500,82.22,1.64,None
NSSC,37.4,11.18%,1125000,38.41,14.18%,612700,38.33,13.94%,434800,38.05,13.11%,445300,38.05,445300,79.35,32.14,None
NTRP,3.77,14.24%,35700,3.59,8.79%,4600,4.0,21.21%,28500,3.83,16.06%,1100,3.83,1100,49.23,3.84,None
OCG,3.85,33.22%,1025100,4.22,46.02%,92200,4.06,40.48%,34600,4.14,43.25%,26200,4.14,26200,46.74,3.79,None
OMEX,1.76,10.0%,3118200,1.92,20.0%,3490100,2.06,28.75%,6510900,1.96,22.5%,4753200,1.96,4753200,62.86,1.57,None
OPXS,11.34,14.43%,74400,10.7,7.97%,29200,10.95,10.49%,18900,10.99,10.9%,13000,10.99,13000,36.65,12.11,None
OVID,1.22,7.02%,2719200,1.26,10.53%,2732100,1.25,9.65%,1197700,1.28,12.28%,1865400,1.28,1865400,91.51,0.68,None
OXBR,1.95,6.27%,23300,2.13,16.08%,343600,2.14,16.62%,45700,2.15,17.17%,21900,2.15,21900,74.86,2.11,None
PACK,5.57,15.32%,9697800,5.39,11.59%,2016900,5.16,6.83%,2853700,5.28,9.32%,899900,5.28,899900,72.24,4.72,None
PCT,13.6,6.92%,2374000,14.86,16.82%,7162800,14.63,15.02%,2578700,14.29,12.34%,2247700,14.29,2247700,62.52,14.27,None
PGEN,4.26,7.04%,9791200,4.59,15.33%,13324900,4.55,14.32%,10276400,4.51,13.32%,9087700,4.51,9087700,89.91,2.96,None
PIII,7.99,8.12%,13400,7.85,6.22%,4100,8.31,12.52%,17800,8.33,12.72%,6300,8.33,6300,79.73,7.15,None
PLRX,1.62,8.72%,726000,1.69,13.42%,619400,1.62,8.72%,631700,1.64,10.07%,517800,1.64,517800,45.45,1.47,None
PMNT,0.49,13.69%,1001300,0.5,16.01%,2458500,0.51,18.33%,644500,0.48,11.6%,800700,0.48,800700,65.37,0.51,None
PODC,1.64,26.15%,132300,1.6,23.08%,53500,1.56,20.0%,424200,1.58,21.54%,191600,1.58,191600,52.03,1.92,None
PSNYW,0.17,6.79%,16365,0.47,195.41%,128739488,0.29,85.42%,4450245,0.31,93.27%,1700578,0.31,1700578,63.77,0.5,None
PTHL,0.67,18.2%,22757400,0.72,27.21%,2008100,0.75,32.69%,777400,0.73,28.98%,429600,0.73,429600,45.83,8.6,None
RCKY,29.93,9.23%,169000,30.68,11.97%,58900,30.67,11.93%,50500,30.43,11.06%,61800,30.43,61800,75.78,26.01,None
REI,1.06,8.16%,4535300,1.1,12.24%,4275000,1.1,12.24%,2504800,1.09,11.22%,1641500,1.09,1641500,78.0,0.84,None
RGC,13.55,10.34%,306000,14.24,15.96%,367500,15.28,24.43%,1012900,14.05,14.41%,278400,14.05,278400,53.46,17.97,None
RGTX,43.67,10.75%,779800,44.09,11.82%,714400,50.85,28.96%,1308000,48.6,23.26%,525300,48.6,525300,48.98,47.03,None
RHLD,68.52,13.67%,92900,63.97,6.12%,40400,67.49,11.96%,42100,66.09,9.64%,30200,66.09,30200,70.46,44.42,None
RR,3.15,32.35%,95940500,3.31,39.08%,125124800,3.1,30.04%,49148800,3.05,27.94%,50579600,3.05,50579600,73.32,2.57,None
RSLS,8.12,7.98%,40977,12.8,70.21%,10939690,15.68,108.51%,3380919,nan,nan%,0,nan,0,71.84,nan,None
SATS,50.87,70.25%,46579100,58.76,96.65%,19724800,56.95,90.6%,8130000,61.79,106.79%,12446800,61.79,12446800,92.79,41.13,None
SELX,1.04,11.83%,31200,1.01,8.6%,26700,1.01,8.71%,3800,1.1,18.28%,2800,1.1,2800,60.48,1.1,None
SERA,3.05,15.53%,413200,2.84,7.58%,94100,3.08,16.67%,145900,3.23,22.35%,212400,3.23,212400,73.54,2.74,None
SINT,3.81,9.97%,254300,3.78,9.25%,192800,4.24,22.54%,210400,4.15,19.94%,173000,4.15,173000,86.01,3.05,None
SKBL,0.54,12.5%,844100,0.82,70.83%,103004800,0.91,89.58%,5762500,1.05,118.75%,6323800,1.05,6323800,81.93,1.48,None
SMTC,58.72,15.14%,7153900,58.13,13.98%,2794600,60.56,18.75%,2816300,58.09,13.9%,1596700,58.09,1596700,67.95,50.87,None
STEC,0.65,10.17%,10100,0.65,10.85%,16800,0.67,13.56%,7800,0.71,20.17%,19500,0.71,19500,60.62,0.71,None
STKH,0.72,32.84%,60040800,0.75,39.11%,1663300,0.7,29.15%,315900,0.77,41.88%,500500,0.77,500500,43.79,1.69,None
SUGP,5.6,7.28%,72100,6.02,15.33%,60000,6.73,28.93%,41700,6.3,20.67%,81000,6.3,81000,49.77,12.68,None
SWIN,3.86,8.12%,567800,3.92,9.8%,769200,3.99,11.76%,399300,4.01,12.32%,184200,4.01,184200,35.11,4.11,None
TLN,378.79,6.54%,2383600,381.5,7.3%,7201500,388.22,9.19%,1089900,378.92,6.58%,1200900,378.92,1200900,55.72,341.93,None
TLSIW,1.74,10.83%,1100,1.74,10.83%,0,1.74,10.83%,0,1.86,18.47%,700,1.86,700,40.0,2.3,None
UFO,33.0,6.58%,187000,33.66,8.7%,94300,33.67,8.74%,82700,33.89,9.45%,105900,33.89,105900,78.81,30.5,None
ULCC,4.85,10.98%,4410600,4.79,9.61%,4671600,4.71,7.78%,2692100,4.9,12.13%,4339400,4.9,4339400,70.54,4.17,None
UP,3.0,25.52%,24358000,2.91,21.76%,14244100,3.3,38.08%,12216800,2.93,22.59%,20246100,2.93,20246100,80.16,2.26,None
USAU,13.13,9.42%,403500,13.34,11.17%,443800,13.05,8.75%,153300,13.13,9.42%,232600,13.13,232600,57.02,11.8,None
USEA,1.67,6.69%,74500,1.7,8.28%,41500,1.68,7.01%,7900,1.67,6.56%,6700,1.67,6700,65.32,1.56,None
VERI,2.92,24.26%,7541900,3.04,29.36%,5599200,2.87,22.13%,2716500,3.05,29.79%,3341900,3.05,3341900,50.76,2.41,None
VFC,14.52,6.22%,11726400,14.94,9.29%,8802800,14.9,9.0%,11161700,15.13,10.68%,6572700,15.13,6572700,89.02,12.76,None
VHC,13.28,6.24%,6000,13.74,9.92%,5900,13.25,6.0%,3600,13.69,9.52%,1200,13.69,1200,35.75,15.91,None
VSAT,30.8,9.18%,5653100,32.5,15.21%,10700200,32.53,15.31%,6004900,32.33,14.6%,2951700,32.33,2951700,81.39,22.61,None
VSME,1.74,41.46%,9064100,1.74,41.46%,6009400,1.9,54.47%,7031200,2.23,81.3%,3248400,2.23,3248400,79.3,1.7,None
WAVE,8.39,19.65%,36400,8.82,25.78%,81100,8.85,26.23%,21300,8.16,16.37%,36300,8.16,36300,55.63,7.97,None
WORX,0.38,30.93%,146126200,0.33,14.09%,4153400,0.35,19.24%,2054600,0.33,12.71%,974600,0.33,974600,52.27,0.41,None
WRN,1.42,7.58%,839100,1.42,7.58%,269900,1.42,7.58%,351500,1.41,6.82%,519700,1.41,519700,62.5,1.29,None
XTIA,1.84,6.98%,1569000,1.84,6.98%,786800,2.04,18.6%,2447900,2.01,16.86%,1286300,2.01,1286300,64.56,1.97,None
YHGJ,0.53,10.42%,164800,0.62,29.17%,2418300,0.64,33.33%,58400,0.61,27.08%,33900,0.61,33900,47.06,0.64,None
