timestamp_utc,ticker,pre_market_price,regular_prev_close,pre_change_pct,pre_volume,reason,meets_filter
2025-08-14T05:50:38.926887+00:00,ACIW,,46.34,,1099345,No pre-market data,False
2025-08-14T05:50:38.926889+00:00,ACLS,,81.32,,859968,No pre-market data,False
2025-08-14T05:50:38.926892+00:00,ACLX,,72.52,,1237997,No pre-market data,False
2025-08-14T05:50:38.926895+00:00,ACMR,,24.93,,1073651,No pre-market data,False
2025-08-14T05:50:38.926897+00:00,ACNB,,44.57,,30750,No pre-market data,False
2025-08-14T05:50:38.926900+00:00,ACNT,,12.86,,29179,No pre-market data,False
2025-08-14T05:50:38.926903+00:00,ACOG,,9.7,,76242,No pre-market data,False
2025-08-14T05:50:38.926905+00:00,ACON,,7.28,,6689,No pre-market data,False
2025-08-14T05:50:38.926908+00:00,ACONW,,0.0402,,302,No pre-market data,False
2025-08-14T05:50:38.926911+00:00,ACRS,,1.64,,1582775,No pre-market data,False
2025-08-14T05:50:38.926913+00:00,ACRV,,1.25,,223773,No pre-market data,False
2025-08-14T05:50:38.926916+00:00,ACT,,37.72,,274471,No pre-market data,False
2025-08-14T05:50:38.926919+00:00,ACTG,,3.34,,285232,No pre-market data,False
2025-08-14T05:50:38.926921+00:00,ACTU,,8.67,,173059,No pre-market data,False
2025-08-14T05:50:38.926924+00:00,ACWI,,132.95,,2030250,No pre-market data,False
2025-08-14T05:50:38.926927+00:00,ACWX,,62.49,,743329,No pre-market data,False
2025-08-14T05:50:38.926929+00:00,ACXP,,4.435,,82410,No pre-market data,False
2025-08-14T05:50:38.926932+00:00,ADAG,,1.91,,106936,No pre-market data,False
2025-08-14T05:50:38.926935+00:00,ADAP,,0.0768,,23471756,No pre-market data,False
2025-08-14T05:50:38.926937+00:00,ADBE,,338.43,,4160830,No pre-market data,False
2025-08-14T05:50:38.926940+00:00,ADBG,,10.34,,186447,No pre-market data,False
2025-08-14T05:50:38.926943+00:00,ADD,,0.56,,125117897,No pre-market data,False
2025-08-14T05:50:38.926946+00:00,ADEA,,14.77,,483255,No pre-market data,False
2025-08-14T05:50:38.926949+00:00,ADGM,,1.285,,7274,No pre-market data,False
2025-08-14T05:50:42.813121+00:00,ADI,,232.04,,3611878,No pre-market data,False
2025-08-14T05:50:42.813138+00:00,ADIL,,0.395,,645417,No pre-market data,False
2025-08-14T05:50:42.813142+00:00,ADMA,,16.76,,2894538,No pre-market data,False
2025-08-14T05:50:42.813145+00:00,ADN,,3.12,,2081272,No pre-market data,False
2025-08-14T05:50:42.813148+00:00,ADNWW,,0.0098,,5824633,No pre-market data,False
2025-08-14T05:50:42.813151+00:00,ADP,,299.63,,2265994,No pre-market data,False
2025-08-14T05:50:42.813154+00:00,ADPT,,12.66,,2358669,No pre-market data,False
2025-08-14T05:50:42.813157+00:00,ADSE,,11.43,,73974,No pre-market data,False
2025-08-14T05:50:42.813160+00:00,ADSEW,,1.14,,1,No pre-market data,False
2025-08-14T05:50:42.813163+00:00,ADSK,,283.03,,1913615,No pre-market data,False
2025-08-14T05:50:42.813165+00:00,ADTN,,9.1,,782698,No pre-market data,False
2025-08-14T05:50:42.813169+00:00,ADTX,,1.03,,154644,No pre-market data,False
2025-08-14T05:50:42.813171+00:00,ADUR,,11.67,,186966,No pre-market data,False
2025-08-14T05:50:42.813175+00:00,ADUS,,113.06,,262480,No pre-market data,False
2025-08-14T05:50:42.813178+00:00,ADV,,1.86,,748046,No pre-market data,False
2025-08-14T05:50:42.813181+00:00,ADVB,,0.4045,,242883,No pre-market data,False
2025-08-14T05:50:42.813184+00:00,ADVM,,2.47,,97915,No pre-market data,False
2025-08-14T05:50:42.813187+00:00,ADVWW,,0.009,,58058,No pre-market data,False
2025-08-14T05:50:42.813190+00:00,ADXN,,7.9,,3100,No pre-market data,False
2025-08-14T05:50:42.813193+00:00,AEBI,,11.49,,426630,No pre-market data,False
